run_index,ID,Periods,Volume,Fat Content,Protein Content,Butter,Cheese,Total Milk Powder,Whole Milk Powder,Skimmed Milk Powder,Concentrated Milk,Whey Powder
run1,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Economics,Diet and nutrition,Diet and nutrition,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run2,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Economics,Diet and nutrition,Diet and nutrition,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run3,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),"TRADE, INDUSTRY AND MARKETS",Diet and nutrition,Diet and nutrition,Business/industrial management and organisation,Business/industrial management and organisation,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run7,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Economics,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition
run6,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Time use,"TRADE, INDUSTRY AND MARKETS",Diet and nutrition,Diet and nutrition,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS",Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run4,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Time use,"TRADE, INDUSTRY AND MARKETS",Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run10,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),"TRADE, INDUSTRY AND MARKETS",Diet and nutrition,Diet and nutrition,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run5,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Time use,"TRADE, INDUSTRY AND MARKETS",Diet and nutrition,Diet and nutrition,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run8,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Time use,"TRADE, INDUSTRY AND MARKETS",Diet and nutrition,Diet and nutrition,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run9,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Economics,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition
