run_index,ID,Travel Motives,Population,Travel Modes,Margins,Region Characteristics,Periods,Trips,Distance Travelled,Time Travelled
run1,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),"Leisure, tourism and sport",DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,Economics,"Community, urban and rural life",Time use,"Leisure, tourism and sport",TRANSPORT AND TRAVEL,Time use
run2,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),"Leisure, tourism and sport",DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,Economics,"Community, urban and rural life",Time use,"Leisure, tourism and sport",TRANSPORT AND TRAVEL,Time use
run3,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),"Leisure, tourism and sport",DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,Economics,"Community, urban and rural life",Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
run7,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),"Leisure, tourism and sport",DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,"TRADE, INDUSTRY AND MARKETS","Community, urban and rural life",Time use,"Leisure, tourism and sport",TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
run6,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),"Leisure, tourism and sport",DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,Business/industrial management and organisation,"Community, urban and rural life",Time use,"Leisure, tourism and sport",TRANSPORT AND TRAVEL,Time use
run4,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),"Leisure, tourism and sport",DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,Economic conditions and indicators,"Community, urban and rural life",Time use,"Leisure, tourism and sport",TRANSPORT AND TRAVEL,Time use
run10,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),"Leisure, tourism and sport",DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,Economics,"Community, urban and rural life",Time use,"Leisure, tourism and sport",TRANSPORT AND TRAVEL,Time use
run5,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),"Leisure, tourism and sport",DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,Economics,"Community, urban and rural life",Time use,"Leisure, tourism and sport",TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
run8,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),"Leisure, tourism and sport",DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,"TRADE, INDUSTRY AND MARKETS","Community, urban and rural life",Time use,"Leisure, tourism and sport",TRANSPORT AND TRAVEL,Time use
run9,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),"Leisure, tourism and sport",DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,Economics,"Community, urban and rural life",Time use,"Leisure, tourism and sport",TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
