run_index,ID,Plant Protection Products,Periods,Sales Active Ingredient,Sales Active Ingredient Indexnumber
run1,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Environment and conservation,Time use,"TRADE, INDUSTRY AND MARKETS",OTHER
run2,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Environment and conservation,Time use,Business/industrial management and organisation,OTHER
run3,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Environment and conservation,Time use,Business/industrial management and organisation,OTHER
run7,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Environment and conservation,Time use,Business/industrial management and organisation,OTHER
run6,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Environment and conservation,Time use,Business/industrial management and organisation,OTHER
run4,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Environment and conservation,Time use,Business/industrial management and organisation,OTHER
run10,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Environment and conservation,Time use,Business/industrial management and organisation,OTHER
run5,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Environment and conservation,Time use,Business/industrial management and organisation,OTHER
run8,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Environment and conservation,Time use,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS"
run9,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Environment and conservation,Time use,"TRADE, INDUSTRY AND MARKETS",OTHER
