run_index,ID,Periods,Total Number Of Disablement Benefits,Benefits WAO,Benefits Wajong,Benefits WAZ,Total Benefits WIA,Benefits IVA,Benefits WGA,Benefits WWNot Seasonally Adjusted,Benefits WWSeasonally Adjusted,Benefits IOW,Total Benefits Income Support,Benefits Income Support Up To AOWAge,Benefits Income Support From AOWAge,Benefits IOAW,Benefits IOAZ,Benefits AOW,Benefits Anw,Persons Entitled To AKW
run1,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS
run2,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS
run3,LABOUR AND EMPLOYMENT,Time use,SOCIAL WELFARE POLICY AND SYSTEMS,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Unemployment,Unemployment,Social welfare systems/structures,Social welfare policy,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures
run7,Social conditions and indicators,Time use,Social welfare systems/structures,Social welfare policy,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare policy,Social welfare policy,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Social welfare systems/structures,Social welfare policy,Social welfare policy,Social welfare policy,Social welfare policy,Social welfare systems/structures,Social welfare systems/structures,Family life and marriage
run6,LABOUR AND EMPLOYMENT,Time use,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Unemployment,Unemployment,Unemployment,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS
run4,LABOUR AND EMPLOYMENT,Time use,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Unemployment,Unemployment,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS
run10,SOCIAL WELFARE POLICY AND SYSTEMS,Time use,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Health care services and policies,Social welfare systems/structures,Unemployment,Unemployment,Unemployment,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures
run5,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS
run8,LABOUR AND EMPLOYMENT,Time use,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Unemployment,Unemployment,Unemployment,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS
run9,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS
