run_index,ID,Sector Branches SIC2008,Periods,Employee,Employed Person,Total,Net Turnover,Other Revenues,Initial Stock Of Raw And Auxiliary Mater,Purchased Raw And Auxiliary Materials,Closing Stock Raw And Auxiliary Mat,Initial Stock Of Commodities,Purchased Commodities,Closing Stock Of Commodities,Payments To Subcontractors,Purchase Value Not Elsewhere Classified,Gross Wages And Salaries,Employer Paid Social Insurance Premiums,Other Social Insurance Costs,Pension And Early Retirement Premiums,Other Personnel Costs,Costs Of Energy Use,Housing Costs,Equipment And Inventory Costs,Transport Costs,Sales Costs,Communication Costs,Costs Of Other Services,Other Liabilities,Depreciation Fixed Assets,Operating Results,Net Financial Income,Balance Of Provisions,Net Extraordinary Income,Pre Tax Results
run1,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Economics,Time use,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Economics,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS",LABOUR AND EMPLOYMENT,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,LABOUR AND EMPLOYMENT,Energy and natural resources,Housing,Business/industrial management and organisation,TRANSPORT AND TRAVEL,"TRADE, INDUSTRY AND MARKETS","MEDIA, COMMUNICATION AND LANGUAGE","TRADE, INDUSTRY AND MARKETS",Social conditions and indicators,Business/industrial management and organisation,Economics,Economics,Social conditions and indicators,Economics,Economics
run2,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Economics,Time use,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Economic conditions and indicators,Business/industrial management and organisation,Business/industrial management and organisation,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS",Working conditions,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Energy and natural resources,Housing,Business/industrial management and organisation,TRANSPORT AND TRAVEL,Business/industrial management and organisation,"MEDIA, COMMUNICATION AND LANGUAGE",Social welfare systems/structures,Social welfare systems/structures,Business/industrial management and organisation,Business/industrial management and organisation,Economic conditions and indicators,Social welfare systems/structures,Economic conditions and indicators,Economic conditions and indicators
run3,SOCIAL STRATIFICATION AND GROUPINGS,"TRADE, INDUSTRY AND MARKETS",Time use,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Economics,Economics,Economics,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Working conditions,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Working conditions,Energy and natural resources,Housing,Business/industrial management and organisation,TRANSPORT AND TRAVEL,"TRADE, INDUSTRY AND MARKETS","MEDIA, COMMUNICATION AND LANGUAGE","TRADE, INDUSTRY AND MARKETS",SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,Economic conditions and indicators,Economic conditions and indicators,SOCIAL WELFARE POLICY AND SYSTEMS,Economic conditions and indicators,Economic conditions and indicators
run7,LABOUR AND EMPLOYMENT,"TRADE, INDUSTRY AND MARKETS",Time use,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Economics,Business/industrial management and organisation,Business/industrial management and organisation,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS",LABOUR AND EMPLOYMENT,"TRADE, INDUSTRY AND MARKETS",LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Energy and natural resources,HOUSING AND LAND USE,Business/industrial management and organisation,TRANSPORT AND TRAVEL,Business/industrial management and organisation,"MEDIA, COMMUNICATION AND LANGUAGE",Business/industrial management and organisation,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,Economics,Economics,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Economics
run6,Social conditions and indicators,Business/industrial management and organisation,Time use,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Social conditions and indicators,Business/industrial management and organisation,Business/industrial management and organisation,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS",Business/industrial management and organisation,Business/industrial management and organisation,LABOUR AND EMPLOYMENT,Social welfare policy,Social welfare policy,Social welfare policy,Social welfare policy,Energy and natural resources,Housing,Business/industrial management and organisation,TRANSPORT AND TRAVEL,Business/industrial management and organisation,"MEDIA, COMMUNICATION AND LANGUAGE",Business/industrial management and organisation,Social welfare policy,Business/industrial management and organisation,Business/industrial management and organisation,Economics,Social welfare policy,Economics,Economics
run4,Social conditions and indicators,"TRADE, INDUSTRY AND MARKETS",Time use,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Economics,Economics,Economics,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS",LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Energy and natural resources,Housing,Business/industrial management and organisation,TRANSPORT AND TRAVEL,"TRADE, INDUSTRY AND MARKETS","MEDIA, COMMUNICATION AND LANGUAGE","TRADE, INDUSTRY AND MARKETS",Economics,Business/industrial management and organisation,Economics,Economics,Economics,Economics,Economics
run10,Social conditions and indicators,Business/industrial management and organisation,Time use,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Social conditions and indicators,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Working conditions,Social conditions and indicators,Social conditions and indicators,Social welfare policy,Working conditions,Energy and natural resources,Housing,Business/industrial management and organisation,TRANSPORT AND TRAVEL,Business/industrial management and organisation,"MEDIA, COMMUNICATION AND LANGUAGE",Business/industrial management and organisation,Social conditions and indicators,Business/industrial management and organisation,Business/industrial management and organisation,Economics,Social conditions and indicators,Business/industrial management and organisation,Economics
run5,Social conditions and indicators,Business/industrial management and organisation,Time use,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Economics,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Working conditions,Social welfare policy,Social welfare policy,Social welfare policy,Working conditions,Energy and natural resources,Housing,Business/industrial management and organisation,TRANSPORT AND TRAVEL,Business/industrial management and organisation,Media,Business/industrial management and organisation,Economics,Business/industrial management and organisation,Business/industrial management and organisation,Economics,Business/industrial management and organisation,Economics,Economics
run8,LABOUR AND EMPLOYMENT,"TRADE, INDUSTRY AND MARKETS",Time use,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Economics,Business/industrial management and organisation,Business/industrial management and organisation,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS",LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Energy and natural resources,HOUSING AND LAND USE,Business/industrial management and organisation,TRANSPORT AND TRAVEL,Business/industrial management and organisation,"MEDIA, COMMUNICATION AND LANGUAGE",Business/industrial management and organisation,Economics,Business/industrial management and organisation,Economics,Economics,Economics,Economics,Economics
run9,LABOUR AND EMPLOYMENT,"TRADE, INDUSTRY AND MARKETS",Time use,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Business/industrial management and organisation,Business/industrial management and organisation,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS",LABOUR AND EMPLOYMENT,"TRADE, INDUSTRY AND MARKETS",LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Energy and natural resources,HOUSING AND LAND USE,Business/industrial management and organisation,TRANSPORT AND TRAVEL,Business/industrial management and organisation,"MEDIA, COMMUNICATION AND LANGUAGE",Business/industrial management and organisation,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,Business/industrial management and organisation,Economics,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Economics
