run_index,Education Sectors,Periods,Total Expenditure On Education,Total Government,Total On Education Institutions,Lump Sum Financing,Contract Research,Operating Costs,Total Subsidies And Tax Benefits,Education Component Preschool Day Care,Transport Of Pupils,Provisions For Disabled Students,Allowance For School Costs,Supervising Costs Of Companies,Student Grants,Student Loans,Total Receipts,EUSubsidies,Repaid Student Grants And Loans And,Interest On Student Loans,Repayments On Student Loans,Total Expenditure By Households,Tuition Fees Subsidised Institutions,Tuition Fees Private Institutions,Parental Contribution School Activities,Total Other Expenditures On Education,Books Materials Public Transport And,Wrongfully Received Student Grants And,Total Allowances Received,Child Care Allowance Education Component,Allowances For School Costs,Scholarships Of Companies,Student Grants For School Fees Books,Student Grants For The Cost Of Living,Total Companies,Total On Education Institutes,Supervising Trainees And Apprentices,Total Other Expenditure On Education,Total Subsidies Received,Total Foreign Countries,International Funds,In Of GDP,Per Capita,Total Government Exp On Education,In Of Total Government Expenditure,Total In Of GDP,Government,Households Companies Foreign Countries,Per Student Including RD,Per Student Excluding RD
run1,EDUCATION,OTHER,EDUCATION,Economic conditions and indicators,EDUCATION,"Economic policy, public expenditure and revenue",SCIENCE AND TECHNOLOGY,Economic conditions and indicators,"Economic policy, public expenditure and revenue",EDUCATION,TRANSPORT AND TRAVEL,EDUCATION,EDUCATION,Business/industrial management and organisation,EDUCATION,Social welfare policy,Economic conditions and indicators,Foreign trade,EDUCATION,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,EDUCATION,EDUCATION,EDUCATION,Economic conditions and indicators,EDUCATION,EDUCATION,Economic conditions and indicators,Social welfare policy,Social welfare policy,Social welfare policy,Social welfare policy,Social welfare policy,Business/industrial management and organisation,EDUCATION,Vocational education and training,EDUCATION,Business/industrial management and organisation,Business/industrial management and organisation,Foreign trade,Economic conditions and indicators,Economic conditions and indicators,EDUCATION,Economic conditions and indicators,Economic conditions and indicators,POLITICS,Business/industrial management and organisation,EDUCATION,EDUCATION
run2,EDUCATION,Time use,NOT_FOUND,Economic conditions and indicators,NOT_FOUND,"Economic policy, public expenditure and revenue",NOT_FOUND,Economic conditions and indicators,"Economic policy, public expenditure and revenue",Compulsory and pre-school education,TRANSPORT AND TRAVEL,NOT_FOUND,"Economic policy, public expenditure and revenue",Business/industrial management and organisation,"Economic policy, public expenditure and revenue",NOT_FOUND,Economic conditions and indicators,International politics and organisations,"Economic policy, public expenditure and revenue",Economic conditions and indicators,"Economic policy, public expenditure and revenue",Economic conditions and indicators,"Economic policy, public expenditure and revenue",NOT_FOUND,"Economic policy, public expenditure and revenue",Economic conditions and indicators,Economic conditions and indicators,"Economic policy, public expenditure and revenue",Economic conditions and indicators,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Business/industrial management and organisation,NOT_FOUND,Vocational education and training,NOT_FOUND,"Economic policy, public expenditure and revenue",International politics and organisations,International politics and organisations,Economic conditions and indicators,Social conditions and indicators,"Government, political systems and organisations",Economic conditions and indicators,Economic conditions and indicators,"Government, political systems and organisations",NOT_FOUND,NOT_FOUND,NOT_FOUND
run3,EDUCATION,OTHER,NOT_FOUND,EDUCATION,NOT_FOUND,EDUCATION,NOT_FOUND,EDUCATION,EDUCATION,EDUCATION,TRANSPORT AND TRAVEL,NOT_FOUND,EDUCATION,Business/industrial management and organisation,EDUCATION,NOT_FOUND,EDUCATION,NOT_FOUND,EDUCATION,EDUCATION,EDUCATION,EDUCATION,EDUCATION,NOT_FOUND,EDUCATION,EDUCATION,EDUCATION,EDUCATION,EDUCATION,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Vocational education and training,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
run7,EDUCATION,OTHER,NOT_FOUND,EDUCATION,NOT_FOUND,EDUCATION,NOT_FOUND,EDUCATION,EDUCATION,EDUCATION,NOT_FOUND,NOT_FOUND,EDUCATION,Business/industrial management and organisation,EDUCATION,NOT_FOUND,EDUCATION,International politics and organisations,EDUCATION,EDUCATION,EDUCATION,EDUCATION,EDUCATION,NOT_FOUND,EDUCATION,EDUCATION,EDUCATION,EDUCATION,EDUCATION,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Business/industrial management and organisation,NOT_FOUND,Vocational education and training,NOT_FOUND,NOT_FOUND,International politics and organisations,International politics and organisations,Economic conditions and indicators,Economic conditions and indicators,NOT_FOUND,NOT_FOUND,Economic conditions and indicators,"Government, political systems and organisations",Economic conditions and indicators,NOT_FOUND,NOT_FOUND
run6,EDUCATION,Time use,NOT_FOUND,Economic conditions and indicators,NOT_FOUND,"Economic policy, public expenditure and revenue",NOT_FOUND,Economic conditions and indicators,"Economic policy, public expenditure and revenue",EDUCATION,NOT_FOUND,NOT_FOUND,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,SOCIAL WELFARE POLICY AND SYSTEMS,NOT_FOUND,Economic conditions and indicators,International politics and organisations,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,"Economic policy, public expenditure and revenue",NOT_FOUND,SOCIAL WELFARE POLICY AND SYSTEMS,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Business/industrial management and organisation,NOT_FOUND,Vocational education and training,NOT_FOUND,NOT_FOUND,International politics and organisations,International politics and organisations,Economic conditions and indicators,Economic conditions and indicators,NOT_FOUND,NOT_FOUND,Economic conditions and indicators,"Government, political systems and organisations",Economic conditions and indicators,NOT_FOUND,NOT_FOUND
run4,EDUCATION,Time use,NOT_FOUND,Economic conditions and indicators,NOT_FOUND,"Economic policy, public expenditure and revenue",NOT_FOUND,Economic conditions and indicators,"Economic policy, public expenditure and revenue",EDUCATION,TRANSPORT AND TRAVEL,NOT_FOUND,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,SOCIAL WELFARE POLICY AND SYSTEMS,NOT_FOUND,Economic conditions and indicators,International politics and organisations,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,"Economic policy, public expenditure and revenue",NOT_FOUND,SOCIAL WELFARE POLICY AND SYSTEMS,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Business/industrial management and organisation,NOT_FOUND,Vocational education and training,NOT_FOUND,"Economic policy, public expenditure and revenue",International politics and organisations,International politics and organisations,Economic conditions and indicators,Social conditions and indicators,"Government, political systems and organisations",Economic conditions and indicators,Economic conditions and indicators,"Government, political systems and organisations",Economic conditions and indicators,NOT_FOUND,NOT_FOUND
run10,EDUCATION,OTHER,NOT_FOUND,Economic conditions and indicators,NOT_FOUND,"Economic policy, public expenditure and revenue",NOT_FOUND,Economic conditions and indicators,"Economic policy, public expenditure and revenue",NOT_FOUND,NOT_FOUND,NOT_FOUND,Economic conditions and indicators,Business/industrial management and organisation,"Economic policy, public expenditure and revenue",NOT_FOUND,Economic conditions and indicators,International politics and organisations,"Economic policy, public expenditure and revenue",Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,"Economic policy, public expenditure and revenue",NOT_FOUND,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,"Economic policy, public expenditure and revenue",Economic conditions and indicators,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Business/industrial management and organisation,NOT_FOUND,Vocational education and training,NOT_FOUND,NOT_FOUND,International politics and organisations,International politics and organisations,Economic conditions and indicators,Economic conditions and indicators,NOT_FOUND,NOT_FOUND,Economic conditions and indicators,"Government, political systems and organisations",NOT_FOUND,NOT_FOUND,NOT_FOUND
run5,EDUCATION,Time use,NOT_FOUND,Economic conditions and indicators,NOT_FOUND,NOT_FOUND,NOT_FOUND,Economic conditions and indicators,Economic conditions and indicators,EDUCATION,NOT_FOUND,NOT_FOUND,Social welfare policy,Business/industrial management and organisation,Social welfare policy,NOT_FOUND,Economic conditions and indicators,Foreign trade,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,NOT_FOUND,Social welfare policy,Economic conditions and indicators,OTHER,Economic conditions and indicators,Economic conditions and indicators,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Business/industrial management and organisation,NOT_FOUND,Vocational education and training,NOT_FOUND,NOT_FOUND,Foreign trade,Foreign trade,Economic conditions and indicators,Economic conditions and indicators,NOT_FOUND,NOT_FOUND,Economic conditions and indicators,NOT_FOUND,Economic conditions and indicators,NOT_FOUND,NOT_FOUND
run8,EDUCATION,Time use,EDUCATION,Economic conditions and indicators,EDUCATION,NOT_FOUND,SCIENCE AND TECHNOLOGY,Economic conditions and indicators,Economic conditions and indicators,EDUCATION,TRANSPORT AND TRAVEL,EDUCATION,Social welfare policy,Business/industrial management and organisation,Social welfare policy,Social welfare policy,Economic conditions and indicators,Foreign trade,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,EDUCATION,Social welfare policy,Economic conditions and indicators,OTHER,Economic conditions and indicators,Economic conditions and indicators,Social welfare policy,Social welfare policy,EDUCATION,Social welfare policy,Social welfare policy,Business/industrial management and organisation,EDUCATION,Vocational education and training,EDUCATION,Business/industrial management and organisation,Business/industrial management and organisation,Foreign trade,Economic conditions and indicators,Economic conditions and indicators,"Government, political systems and organisations",Economic conditions and indicators,Economic conditions and indicators,"Government, political systems and organisations",Business/industrial management and organisation,EDUCATION,EDUCATION
run9,EDUCATION,Time use,NOT_FOUND,Economic conditions and indicators,NOT_FOUND,"Economic policy, public expenditure and revenue",NOT_FOUND,Economic conditions and indicators,"Economic policy, public expenditure and revenue",EDUCATION,TRANSPORT AND TRAVEL,NOT_FOUND,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,SOCIAL WELFARE POLICY AND SYSTEMS,NOT_FOUND,Economic conditions and indicators,International politics and organisations,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,"Economic policy, public expenditure and revenue",NOT_FOUND,SOCIAL WELFARE POLICY AND SYSTEMS,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Business/industrial management and organisation,NOT_FOUND,Vocational education and training,NOT_FOUND,Economic conditions and indicators,International politics and organisations,International politics and organisations,Economic conditions and indicators,Social conditions and indicators,NOT_FOUND,NOT_FOUND,Economic conditions and indicators,NOT_FOUND,"TRADE, INDUSTRY AND MARKETS",NOT_FOUND,NOT_FOUND
