run_index,Sex,Age At December31,Type Of Figure,Periods,Life Expectancy,Life Expectancy In Perceived Good Health,LEWithout Moderate Severe Limitations,LEWithout Severe Limitations,LEWithout Light Moderate Severe Lim,LEWithout Chronic Morbidity,LEWithout Chr Morb Excl Hypertension,LEWithout Psychological Complaints,Life Expectancy Without GALILimitations,Life Exp Without Severe GALILimitations
run1,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Reproductive health,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Morbidity and mortality,Morbidity and mortality,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run2,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Reproductive health,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Morbidity and mortality,Morbidity and mortality,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run3,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Reproductive health,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Morbidity and mortality,Morbidity and mortality,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run7,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Reproductive health,Morbidity and mortality,Morbidity and mortality,Morbidity and mortality,Morbidity and mortality,Morbidity and mortality,Morbidity and mortality,Morbidity and mortality,NOT_FOUND,Morbidity and mortality,Morbidity and mortality
run6,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Reproductive health,Morbidity and mortality,Morbidity and mortality,Morbidity and mortality,Morbidity and mortality,Morbidity and mortality,Morbidity and mortality,Morbidity and mortality,NOT_FOUND,Morbidity and mortality,Morbidity and mortality
run4,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Reproductive health,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Morbidity and mortality,Morbidity and mortality,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run10,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
run5,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Reproductive health,Morbidity and mortality,Morbidity and mortality,Morbidity and mortality,Morbidity and mortality,Morbidity and mortality,Morbidity and mortality,Morbidity and mortality,NOT_FOUND,Morbidity and mortality,Morbidity and mortality
run8,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
run9,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
