run_index,Farm Animals,Periods,Livestock
run1,Plants and animals,Time use,Plants and animals
run2,Plants and animals,Time use,Plants and animals
run3,Plants and animals,Time use,Plants and animals
run7,Plants and animals,Time use,Plants and animals
run6,Plants and animals,Time use,Plants and animals
run4,Plants and animals,Time use,Plants and animals
run10,Plants and animals,Time use,Plants and animals
run5,Plants and animals,Time use,Plants and animals
run8,Plants and animals,Time use,Plants and animals
run9,Plants and animals,Time use,Plants and animals
