run_index,Periods,Volume,Fat Content,Protein Content,Butter,Cheese,Total Milk Powder,Whole Milk Powder,Skimmed Milk Powder,Concentrated Milk,Whey Powder,Volumne,Butten
run1,OTHER,OTHER,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,
run2,Time use,OTHER,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,
run3,OTHER,OTHER,NOT_FOUND,NOT_FOUND,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,,
run7,OTHER,,NOT_FOUND,NOT_FOUND,,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,OTHER,Agriculture and rural industry
run6,OTHER,,NOT_FOUND,NOT_FOUND,,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,OTHER,Agriculture and rural industry
run4,OTHER,OTHER,NOT_FOUND,NOT_FOUND,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,,
run10,OTHER,,OTHER,OTHER,,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER
run5,OTHER,OTHER,NOT_FOUND,NOT_FOUND,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,,
run8,OTHER,,NOT_FOUND,NOT_FOUND,,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,OTHER,NOT_FOUND
run9,OTHER,,NOT_FOUND,NOT_FOUND,,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,OTHER,NOT_FOUND
