run_index,Travel Motives,Population,Travel Modes,Margins,Region Characteristics,Periods,Trips,Distance Travelled,Time Travelled
run1,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,OTHER,Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
run2,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,OTHER,Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
run3,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,OTHER,Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
run7,"Leisure, tourism and sport",DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,"Community, urban and rural life",Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
run6,"Leisure, tourism and sport",DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,"Community, urban and rural life",Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
run4,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,OTHER,Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
run10,"Leisure, tourism and sport",DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,"TRADE, INDUSTRY AND MARKETS",NOT_FOUND,Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
run5,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,OTHER,Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
run8,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,OTHER,Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
run9,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,OTHER,Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
