run_index,Plant Protection Products,Periods,Sales Active Ingredient,Sales Active Ingredient Indexnumber
run1,Agriculture and rural industry,OTHER,OTHER,OTHER
run2,Agriculture and rural industry,OTHER,Agriculture and rural industry,OTHER
run3,Agriculture and rural industry,OTHER,OTHER,OTHER
run7,Agriculture and rural industry,OTHER,Agriculture and rural industry,OTHER
run6,Agriculture and rural industry,OTHER,OTHER,OTHER
run4,Agriculture and rural industry,OTHER,Agriculture and rural industry,OTHER
run10,Agriculture and rural industry,OTHER,Agriculture and rural industry,OTHER
run5,Agriculture and rural industry,OTHER,OTHER,OTHER
run8,Agriculture and rural industry,OTHER,Agriculture and rural industry,OTHER
run9,Agriculture and rural industry,OTHER,OTHER,OTHER
