run_index,Periods,Population At Start Of Selected Period,Live Births,Deaths,Immigration,Emigration,Net Corrections,Total Population Growth,Population At End Of Selected Period,Emigration Including Administrative C
run1,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),
run2,Time use,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),
run3,Time use,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),
run7,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),
run6,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),
run4,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),
run10,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration
run5,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration
run8,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration
run9,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration
