run_index,Periods,Total Number Of Disablement Benefits,Benefits WAO,Benefits Wajong,Benefits WAZ,Total Benefits WIA,Benefits IVA,Benefits WGA,Benefits WWNot Seasonally Adjusted,Benefits WWSeasonally Adjusted,Benefits IOW,Total Benefits Income Support,Benefits Income Support Up To AOWAge,Benefits Income Support From AOWAge,Benefits IOAW,Benefits IOAZ,Benefits AOW,Benefits Anw,Persons Entitled To AKW
run1,OTHER,NOT_FOUND,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures
run2,OTHER,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
run3,OTHER,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
run7,OTHER,NOT_FOUND,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,NOT_FOUND,Specific social services: use and availability,Specific social services: use and availability,Unemployment,Unemployment,Specific social services: use and availability,NOT_FOUND,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,Social welfare policy
run6,OTHER,NOT_FOUND,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,NOT_FOUND,Specific social services: use and availability,Specific social services: use and availability,Unemployment,Unemployment,Specific social services: use and availability,NOT_FOUND,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,Social welfare policy
run4,OTHER,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Unemployment,Unemployment,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
run10,OTHER,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Unemployment,Unemployment,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
run5,OTHER,NOT_FOUND,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,NOT_FOUND,Specific social services: use and availability,Specific social services: use and availability,Unemployment,Unemployment,Specific social services: use and availability,NOT_FOUND,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,Social welfare policy
run8,OTHER,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures
run9,OTHER,NOT_FOUND,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,NOT_FOUND,Specific social services: use and availability,Specific social services: use and availability,Unemployment,Unemployment,Specific social services: use and availability,NOT_FOUND,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,Social welfare policy
