run_index,Sector Branches SIC2008,Periods,Employee,Employed Person,Total,Net Turnover,Other Revenues,Initial Stock Of Raw And Auxiliary Mater,Purchased Raw And Auxiliary Materials,Closing Stock Raw And Auxiliary Mat,Initial Stock Of Commodities,Purchased Commodities,Closing Stock Of Commodities,Payments To Subcontractors,Purchase Value Not Elsewhere Classified,Gross Wages And Salaries,Employer Paid Social Insurance Premiums,Other Social Insurance Costs,Pension And Early Retirement Premiums,Other Personnel Costs,Costs Of Energy Use,Housing Costs,Equipment And Inventory Costs,Transport Costs,Sales Costs,Communication Costs,Costs Of Other Services,Other Liabilities,Depreciation Fixed Assets,Operating Results,Net Financial Income,Balance Of Provisions,Net Extraordinary Income,Pre Tax Results,Initial Stock Of Raw And Auxiliary Commodities
run1,OTHER,OTHER,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,
run2,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,
run3,OTHER,OTHER,,LABOUR AND EMPLOYMENT,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,
run7,OTHER,OTHER,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,,,,OTHER,OTHER,LABOUR AND EMPLOYMENT,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,LABOUR AND EMPLOYMENT,Environment and conservation,Housing,Business/industrial management and organisation,TRANSPORT AND TRAVEL,Business/industrial management and organisation,OTHER,Business/industrial management and organisation,OTHER,Business/industrial management and organisation,Business/industrial management and organisation,OTHER,OTHER,OTHER,Business/industrial management and organisation,
run6,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,
run4,OTHER,OTHER,,,,Economic conditions and indicators,Economic conditions and indicators,HOUSING AND LAND USE,,,,,,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Environment and conservation,HOUSING AND LAND USE,Economic conditions and indicators,TRANSPORT AND TRAVEL,Economic conditions and indicators,"MEDIA, COMMUNICATION AND LANGUAGE",Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,
run10,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,,,,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,
run5,OTHER,OTHER,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Working conditions,Working conditions,Working conditions,Working conditions,Working conditions,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,
run8,OTHER,OTHER,OTHER,OTHER,OTHER,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,
run9,OTHER,OTHER,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,Working conditions,Social welfare policy,Social welfare policy,Social welfare policy,Working conditions,Environment and conservation,Housing,OTHER,TRANSPORT AND TRAVEL,OTHER,OTHER,OTHER,OTHER,OTHER,Economic conditions and indicators,Economic conditions and indicators,OTHER,Economic conditions and indicators,Economic conditions and indicators,
