run_index,ID,Sex,Age At December31,Type Of Figure,Periods,Life Expectancy,Life Expectancy In Perceived Good Health,LEWithout Moderate Severe Limitations,LEWithout Severe Limitations,LEWithout Light Moderate Severe Lim,LEWithout Chronic Morbidity,LEWithout Chr Morb Excl Hypertension,LEWithout Psychological Complaints,Life Expectancy Without GALILimitations,Life Exp Without Severe GALILimitations
run1,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Reproductive health,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,NOT_FOUND,HEALTH,HEALTH
run2,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Reproductive health,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,NOT_FOUND,HEALTH,HEALTH
run3,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Reproductive health,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,NOT_FOUND,HEALTH,HEALTH
run7,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Reproductive health,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,NOT_FOUND,HEALTH,HEALTH
run6,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Reproductive health,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,NOT_FOUND,HEALTH,HEALTH
run4,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Reproductive health,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,NOT_FOUND,HEALTH,HEALTH
run10,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Reproductive health,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,NOT_FOUND,HEALTH,HEALTH
run5,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Reproductive health,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,NOT_FOUND,HEALTH,HEALTH
run8,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Reproductive health,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,NOT_FOUND,HEALTH,HEALTH
run9,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Reproductive health,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,NOT_FOUND,HEALTH,HEALTH
