run_index,ID,Farm Animals,Periods,Livestock
run1,OTHER,Agriculture and rural industry,OTHER,Agriculture and rural industry
run2,OTHER,Agriculture and rural industry,OTHER,Agriculture and rural industry
run3,OTHER,Agriculture and rural industry,OTHER,Agriculture and rural industry
run7,OTHER,Agriculture and rural industry,OTHER,Agriculture and rural industry
run6,OTHER,Agriculture and rural industry,OTHER,Agriculture and rural industry
run4,OTHER,Agriculture and rural industry,OTHER,Agriculture and rural industry
run10,OTHER,Agriculture and rural industry,OTHER,Agriculture and rural industry
run5,OTHER,Agriculture and rural industry,OTHER,Agriculture and rural industry
run8,OTHER,Agriculture and rural industry,OTHER,Agriculture and rural industry
run9,OTHER,Agriculture and rural industry,OTHER,Agriculture and rural industry
