run_index,ID,Periods,Volume,Fat Content,Protein Content,Butter,Cheese,Total Milk Powder,Whole Milk Powder,Skimmed Milk Powder,Concentrated Milk,Whey Powder
run1,OTHER,Time use,OTHER,HEALTH,HEALTH,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run2,OTHER,Time use,OTHER,HEALTH,HEALTH,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run3,OTHER,Time use,OTHER,HEALTH,HEALTH,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run7,OTHER,Time use,OTHER,Diet and nutrition,Diet and nutrition,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
run6,OTHER,Time use,OTHER,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run4,OTHER,Time use,OTHER,HEALTH,HEALTH,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run10,OTHER,Time use,OTHER,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition
run5,OTHER,Time use,OTHER,HEALTH,HEALTH,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run8,OTHER,Time use,OTHER,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition
run9,OTHER,Time use,OTHER,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition,Diet and nutrition
