run_index,ID,Plant Protection Products,Periods,Sales Active Ingredient,Sales Active Ingredient Indexnumber
run1,OTHER,Agriculture and rural industry,OTHER,OTHER,OTHER
run2,OTHER,Agriculture and rural industry,OTHER,OTHER,OTHER
run3,OTHER,Agriculture and rural industry,OTHER,OTHER,OTHER
run7,OTHER,Agriculture and rural industry,OTHER,OTHER,OTHER
run6,OTHER,Agriculture and rural industry,OTHER,OTHER,OTHER
run4,OTHER,Agriculture and rural industry,OTHER,OTHER,OTHER
run10,OTHER,Agriculture and rural industry,OTHER,OTHER,OTHER
run5,OTHER,Agriculture and rural industry,OTHER,OTHER,OTHER
run8,OTHER,Agriculture and rural industry,OTHER,OTHER,OTHER
run9,OTHER,Agriculture and rural industry,OTHER,OTHER,OTHER
