run_index,ID,Periods,Total Number Of Disablement Benefits,Benefits WAO,Benefits Wajong,Benefits WAZ,Total Benefits WIA,Benefits IVA,Benefits WGA,Benefits WWNot Seasonally Adjusted,Benefits WWSeasonally Adjusted,Benefits IOW,Total Benefits Income Support,Benefits Income Support Up To AOWAge,Benefits Income Support From AOWAge,Benefits IOAW,Benefits IOAZ,Benefits AOW,Benefits Anw,Persons Entitled To AKW
run1,OTHER,OTHER,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures
run2,OTHER,OTHER,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures
run3,OTHER,OTHER,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures
run7,OTHER,OTHER,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures
run6,OTHER,OTHER,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures
run4,OTHER,OTHER,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures
run10,OTHER,OTHER,Social welfare policy,Social welfare policy,Social welfare policy,Social welfare policy,Social welfare policy,Social welfare policy,Social welfare policy,Social welfare policy,Social welfare policy,Social welfare policy,Social welfare policy,Social welfare policy,Social welfare policy,Social welfare policy,Social welfare policy,Social welfare policy,Social welfare policy,Social welfare policy
run5,OTHER,OTHER,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures
run8,OTHER,OTHER,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures
run9,OTHER,OTHER,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures
