run_index,ID,Sector Branches SIC2008,Periods,Employee,Employed Person,Total,Net Turnover,Other Revenues,Initial Stock Of Raw And Auxiliary Mater,Purchased Raw And Auxiliary Materials,Closing Stock Raw And Auxiliary Mat,Initial Stock Of Commodities,Purchased Commodities,Closing Stock Of Commodities,Payments To Subcontractors,Purchase Value Not Elsewhere Classified,Gross Wages And Salaries,Employer Paid Social Insurance Premiums,Other Social Insurance Costs,Pension And Early Retirement Premiums,Other Personnel Costs,Costs Of Energy Use,Housing Costs,Equipment And Inventory Costs,Transport Costs,Sales Costs,Communication Costs,Costs Of Other Services,Other Liabilities,Depreciation Fixed Assets,Operating Results,Net Financial Income,Balance Of Provisions,Net Extraordinary Income,Pre Tax Results
run1,OTHER,OTHER,OTHER,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,"Income, property and investment/saving","Income, property and investment/saving",OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,Working conditions,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Working conditions,Energy and natural resources,Housing,OTHER,TRANSPORT AND TRAVEL,Business/industrial management and organisation,OTHER,OTHER,"Income, property and investment/saving",Business/industrial management and organisation,Business/industrial management and organisation,"Income, property and investment/saving","Income, property and investment/saving","Income, property and investment/saving",Business/industrial management and organisation
run2,OTHER,OTHER,OTHER,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,"Income, property and investment/saving","Income, property and investment/saving",OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,Working conditions,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Working conditions,Energy and natural resources,Housing,OTHER,TRANSPORT AND TRAVEL,Business/industrial management and organisation,OTHER,OTHER,"Income, property and investment/saving",Business/industrial management and organisation,Business/industrial management and organisation,"Income, property and investment/saving","Income, property and investment/saving","Income, property and investment/saving",Business/industrial management and organisation
run3,OTHER,OTHER,OTHER,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,Economics,Economics,Economics,Economics,Economics,Economics,Economics,Economics,Economics,Economics,Economics,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Environment and conservation,Housing,Business/industrial management and organisation,TRANSPORT AND TRAVEL,Business/industrial management and organisation,OTHER,Business/industrial management and organisation,Economics,Business/industrial management and organisation,Economics,Economics,Economics,Economics,Economics
run7,OTHER,OTHER,OTHER,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,"Income, property and investment/saving","Income, property and investment/saving",OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,Working conditions,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Working conditions,Energy and natural resources,Housing,OTHER,TRANSPORT AND TRAVEL,Business/industrial management and organisation,OTHER,OTHER,"Income, property and investment/saving",Business/industrial management and organisation,Business/industrial management and organisation,"Income, property and investment/saving","Income, property and investment/saving","Income, property and investment/saving",Business/industrial management and organisation
run6,OTHER,OTHER,OTHER,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,"Income, property and investment/saving","Income, property and investment/saving",OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,Working conditions,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Working conditions,Energy and natural resources,Housing,OTHER,TRANSPORT AND TRAVEL,Business/industrial management and organisation,OTHER,OTHER,"Income, property and investment/saving",Business/industrial management and organisation,Business/industrial management and organisation,"Income, property and investment/saving","Income, property and investment/saving","Income, property and investment/saving",Business/industrial management and organisation
run4,OTHER,OTHER,OTHER,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,"Income, property and investment/saving","Income, property and investment/saving",OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,Working conditions,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Working conditions,Energy and natural resources,Housing,OTHER,TRANSPORT AND TRAVEL,Business/industrial management and organisation,OTHER,OTHER,"Income, property and investment/saving",Business/industrial management and organisation,Business/industrial management and organisation,"Income, property and investment/saving","Income, property and investment/saving","Income, property and investment/saving",Business/industrial management and organisation
run10,OTHER,OTHER,OTHER,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,"Income, property and investment/saving","Income, property and investment/saving",OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,Working conditions,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,Working conditions,Energy and natural resources,Housing,OTHER,TRANSPORT AND TRAVEL,Business/industrial management and organisation,OTHER,OTHER,"Income, property and investment/saving",Business/industrial management and organisation,Business/industrial management and organisation,"Income, property and investment/saving","Income, property and investment/saving","Income, property and investment/saving","Income, property and investment/saving"
run5,OTHER,OTHER,OTHER,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,"Income, property and investment/saving","Income, property and investment/saving",OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,Working conditions,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Working conditions,Energy and natural resources,Housing,OTHER,TRANSPORT AND TRAVEL,Business/industrial management and organisation,OTHER,OTHER,"Income, property and investment/saving",Business/industrial management and organisation,Business/industrial management and organisation,"Income, property and investment/saving","Income, property and investment/saving","Income, property and investment/saving",Business/industrial management and organisation
run8,OTHER,OTHER,OTHER,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,Economics,Economics,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,LABOUR AND EMPLOYMENT,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,LABOUR AND EMPLOYMENT,Energy and natural resources,HOUSING AND LAND USE,Business/industrial management and organisation,TRANSPORT AND TRAVEL,Business/industrial management and organisation,OTHER,Business/industrial management and organisation,Economics,Business/industrial management and organisation,Economics,Economics,Economics,Economics,Economics
run9,OTHER,OTHER,OTHER,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,Economics,Economics,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,LABOUR AND EMPLOYMENT,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,LABOUR AND EMPLOYMENT,Energy and natural resources,HOUSING AND LAND USE,Business/industrial management and organisation,TRANSPORT AND TRAVEL,Business/industrial management and organisation,OTHER,Business/industrial management and organisation,Economics,Business/industrial management and organisation,Economics,Economics,Economics,Economics,Economics
