,setting,system_pair,dataset,alignment_score
0,no-context/strict,ChatGPTvsGoogleBard,Education_expenditure_and_indicators.csv,-0.004433962264150944
1,no-context/strict,ChatGPTvsGoogleGemini,Education_expenditure_and_indicators.csv,-0.004433962264150944
2,no-context/strict,GoogleBardvsGoogleGemini,Education_expenditure_and_indicators.csv,-0.0038235294117647057
3,no-context/strict,ChatGPTvsGoogleBard,Health_expectancy.csv,-0.0017857142857142857
4,no-context/strict,ChatGPTvsGoogleGemini,Health_expectancy.csv,0.0025
5,no-context/strict,GoogleBardvsGoogleGemini,Health_expectancy.csv,-0.0007142857142857143
6,no-context/strict,ChatGPTvsGoogleBard,Listed_monuments.csv,-0.00875
7,no-context/strict,ChatGPTvsGoogleGemini,Listed_monuments.csv,0.0025
8,no-context/strict,GoogleBardvsGoogleGemini,Listed_monuments.csv,-0.00125
9,no-context/strict,ChatGPTvsGoogleBard,Livestock.csv,0.0
10,no-context/strict,ChatGPTvsGoogleGemini,Livestock.csv,0.005
11,no-context/strict,GoogleBardvsGoogleGemini,Livestock.csv,-0.005
12,no-context/strict,ChatGPTvsGoogleBard,Milk_supply_and_dairy_production.csv,-0.015384615384615385
13,no-context/strict,ChatGPTvsGoogleGemini,Milk_supply_and_dairy_production.csv,-0.005
14,no-context/strict,GoogleBardvsGoogleGemini,Milk_supply_and_dairy_production.csv,-0.01423076923076923
15,no-context/strict,ChatGPTvsGoogleBard,Mobility.csv,0.0016666666666666666
16,no-context/strict,ChatGPTvsGoogleGemini,Mobility.csv,0.003333333333333333
17,no-context/strict,GoogleBardvsGoogleGemini,Mobility.csv,0.006666666666666666
18,no-context/strict,ChatGPTvsGoogleBard,Plant_protection_products.csv,-0.00125
19,no-context/strict,ChatGPTvsGoogleGemini,Plant_protection_products.csv,-0.00125
20,no-context/strict,GoogleBardvsGoogleGemini,Plant_protection_products.csv,0.01
21,no-context/strict,ChatGPTvsGoogleBard,Population_dynamics.csv,-0.0005
22,no-context/strict,ChatGPTvsGoogleGemini,Population_dynamics.csv,0.003333333333333333
23,no-context/strict,GoogleBardvsGoogleGemini,Population_dynamics.csv,0.001
24,no-context/strict,ChatGPTvsGoogleBard,Social_security.csv,-0.005789473684210527
25,no-context/strict,ChatGPTvsGoogleGemini,Social_security.csv,-0.005
26,no-context/strict,GoogleBardvsGoogleGemini,Social_security.csv,-0.005
27,no-context/strict,ChatGPTvsGoogleBard,Trade_and_industry.csv,-0.004571428571428571
28,no-context/strict,ChatGPTvsGoogleGemini,Trade_and_industry.csv,-0.0010294117647058822
29,no-context/strict,GoogleBardvsGoogleGemini,Trade_and_industry.csv,-0.0037142857142857142
30,no-context/soft,ChatGPTvsGoogleBard,Education_expenditure_and_indicators.csv,-0.0030188679245283017
31,no-context/soft,ChatGPTvsGoogleGemini,Education_expenditure_and_indicators.csv,0.003490566037735849
32,no-context/soft,GoogleBardvsGoogleGemini,Education_expenditure_and_indicators.csv,-0.002352941176470588
33,no-context/soft,ChatGPTvsGoogleBard,Health_expectancy.csv,-0.0017857142857142857
34,no-context/soft,ChatGPTvsGoogleGemini,Health_expectancy.csv,0.0025
35,no-context/soft,GoogleBardvsGoogleGemini,Health_expectancy.csv,-0.0007142857142857143
36,no-context/soft,ChatGPTvsGoogleBard,Listed_monuments.csv,-0.00875
37,no-context/soft,ChatGPTvsGoogleGemini,Listed_monuments.csv,0.0025
38,no-context/soft,GoogleBardvsGoogleGemini,Listed_monuments.csv,-0.00125
39,no-context/soft,ChatGPTvsGoogleBard,Livestock.csv,0.0
40,no-context/soft,ChatGPTvsGoogleGemini,Livestock.csv,0.005
41,no-context/soft,GoogleBardvsGoogleGemini,Livestock.csv,-0.005
42,no-context/soft,ChatGPTvsGoogleBard,Milk_supply_and_dairy_production.csv,-0.015384615384615385
43,no-context/soft,ChatGPTvsGoogleGemini,Milk_supply_and_dairy_production.csv,-0.0022727272727272726
44,no-context/soft,GoogleBardvsGoogleGemini,Milk_supply_and_dairy_production.csv,-0.01423076923076923
45,no-context/soft,ChatGPTvsGoogleBard,Mobility.csv,0.0016666666666666666
46,no-context/soft,ChatGPTvsGoogleGemini,Mobility.csv,0.003333333333333333
47,no-context/soft,GoogleBardvsGoogleGemini,Mobility.csv,0.006666666666666666
48,no-context/soft,ChatGPTvsGoogleBard,Plant_protection_products.csv,-0.00125
49,no-context/soft,ChatGPTvsGoogleGemini,Plant_protection_products.csv,-0.00125
50,no-context/soft,GoogleBardvsGoogleGemini,Plant_protection_products.csv,0.01
51,no-context/soft,ChatGPTvsGoogleBard,Population_dynamics.csv,0.001
52,no-context/soft,ChatGPTvsGoogleGemini,Population_dynamics.csv,0.005
53,no-context/soft,GoogleBardvsGoogleGemini,Population_dynamics.csv,0.0025
54,no-context/soft,ChatGPTvsGoogleBard,Social_security.csv,-0.005789473684210527
55,no-context/soft,ChatGPTvsGoogleGemini,Social_security.csv,0.0076315789473684215
56,no-context/soft,GoogleBardvsGoogleGemini,Social_security.csv,-0.005
57,no-context/soft,ChatGPTvsGoogleBard,Trade_and_industry.csv,-0.0024285714285714284
58,no-context/soft,ChatGPTvsGoogleGemini,Trade_and_industry.csv,0.001176470588235294
59,no-context/soft,GoogleBardvsGoogleGemini,Trade_and_industry.csv,-0.0011428571428571427
60,context/strict,ChatGPTvsGoogleGemini,Education_expenditure_and_indicators.csv,-0.003333333333333333
61,context/strict,ChatGPTvsGoogleGemini,Health_expectancy.csv,0.007857142857142858
62,context/strict,ChatGPTvsGoogleGemini,Listed_monuments.csv,-0.005
63,context/strict,ChatGPTvsGoogleGemini,Livestock.csv,-0.005
64,context/strict,ChatGPTvsGoogleGemini,Milk_supply_and_dairy_production.csv,-0.005
65,context/strict,ChatGPTvsGoogleGemini,Mobility.csv,0.0
66,context/strict,ChatGPTvsGoogleGemini,Plant_protection_products.csv,-0.005
67,context/strict,ChatGPTvsGoogleGemini,Population_dynamics.csv,0.005
68,context/strict,ChatGPTvsGoogleGemini,Social_security.csv,-0.004210526315789474
69,context/strict,ChatGPTvsGoogleGemini,Trade_and_industry.csv,-0.00014705882352941175
