setting,system,Education Sectors,Periods,Total Expenditure On Education,Total Government,Total On Education Institutions,Lump Sum Financing,Contract Research,Operating Costs,Total Subsidies And Tax Benefits,Education Component Preschool Day Care,Transport Of Pupils,Provisions For Disabled Students,Allowance For School Costs,Supervising Costs Of Companies,Student Grants,Student Loans,Total Receipts,EUSubsidies,Repaid Student Grants And Loans And,Interest On Student Loans,Repayments On Student Loans,Total Expenditure By Households,Tuition Fees Subsidised Institutions,Tuition Fees Private Institutions,Parental Contribution School Activities,Total Other Expenditures On Education,Books Materials Public Transport And,Wrongfully Received Student Grants And,Total Allowances Received,Child Care Allowance Education Component,Scholarships Of Companies,Student Grants For School Fees Books,Student Grants For The Cost Of Living,Total Companies,Total On Education Institutes,Supervising Trainees And Apprentices,Total Subsidies Received,Total Foreign Countries,International Funds,In Of GDP,Per Capita,Total Government Exp On Education,In Of Total Government Expenditure,Total In Of GDP,Government,Households Companies Foreign Countries,Per Student Including RD,Per Student Excluding RD,Allowances For School Costs,Total Other Expenditure On Education
context/,ChatGPT/strict_consistency/,11,89,8,58,11,8,63,7,8,12,94,11,11,38,77,77,7,93,77.0,8,77,77,11,11,11,11,11,77,77,77,92,77,77,92,11,38,8,59,59,7,88,58,58,7.0,58.0,77.0,11,11,,
context/,ChatGPT/strict_consistency/,12,89,8,8,8,8,NOT_FOUND,34,8,12,94,76,76,37,76,76,8,93,76.0,76,76,78,12,12,12,8,12,76,76,78,92,76,76,92,8,35,8,8,8,7,88,8,7,,,,76,76,,
context/,ChatGPT/strict_consistency/,11,95,8,58,11,8,63,8,8,12,94,17,8,92,77,77,8,93,77.0,8,77,77,8,8,77,8,94,77,77,77,92,77,77,92,11,92,8,93,59,7,7,58,7,,,,11,11,8.0,
context/,ChatGPT/strict_consistency/,11,30,8,58,11,8,63,8,8,12,94,12,12,34,76,76,8,8,78.0,8,8,5,11,11,76,11,11,78,78,78,78,78,78,34,11,34,8,59,59,7,7,58,7,7.0,58.0,8.0,11,11,12.0,
context/,ChatGPT/strict_consistency/,11,30,8,58,11,8,63,5,8,12,94,21,77,92,77,77,8,59,77.0,8,8,5,5,5,77,5,5,77,77,21,92,77,77,92,11,92,8,59,59,7,7,58,7,7.0,58.0,77.0,7,7,,
context/,ChatGPT/strict_consistency/,11,30,5,58,11,8,63,8,8,12,94,11,11,34,34,34,5,58,34.0,5,5,5,11,11,11,5,11,34,34,76,34,34,34,34,11,34,8,59,59,7,7,58,7,,,,11,11,,
context/,ChatGPT/strict_consistency/,11,89,5,58,11,8,63,8,8,12,94,12,11,34,76,76,5,93,76.0,5,76,5,5,5,5,11,11,76,76,76,34,76,76,34,11,34,8,93,93,7,7,58,7,,,,11,11,,
context/,ChatGPT/strict_consistency/,11,30,8,58,11,8,63,8,8,12,94,76,76,34,76,76,8,59,78.0,78,78,8,12,12,76,11,94,76,76,76,34,76,76,92,11,34,8,93,59,7,7,58,7,,,,76,76,,
context/,ChatGPT/strict_consistency/,11,1,5,5,11,5,11,5,8,12,11,12,12,34,76,76,5,93,76.0,5,5,5,11,11,11,11,11,76,76,76,76,76,76,5,11,34,8,5,5,7,7,8,8,7.0,58.0,5.0,5,5,,
context/,ChatGPT/strict_consistency/,12,95,8,8,8,8,8,8,8,12,94,15,15,34,15,15,8,93,15.0,15,15,8,12,12,12,8,94,15,15,15,34,15,15,34,8,34,8,8,8,7,7,8,7,,,,15,15,,
context/,GoogleGemini/strict_consistency/,11,95,5,5,5,5,5,5,5,11,94,76,76,92,76,76,5,93,76.0,76,76,5,11,11,76,11,11,76,76,76,76,76,76,92,5,16,5,93,93,5,5,5,5,5,5.0,,11,11,76,11
context/,GoogleGemini/strict_consistency/,11,95,5,5,5,5,5,5,5,11,94,76,76,92,76,76,5,93,5.0,5,5,5,5,5,76,5,5,5,76,76,76,76,76,92,5,92,5,93,93,5,5,5,5,5,5.0,5.0,11,11,76,5
context/,GoogleGemini/strict_consistency/,11,95,5,5,5,5,5,5,5,11,94,76,76,92,76,76,5,93,5.0,5,5,5,5,5,76,5,5,5,76,76,76,76,76,92,5,92,5,93,93,5,5,5,5,5,5.0,5.0,11,11,76,5
context/,GoogleGemini/strict_consistency/,11,95,5,5,5,5,5,5,5,11,94,76,76,5,76,76,5,93,5.0,5,5,5,5,5,76,5,11,5,76,76,76,76,76,5,5,16,5,93,93,5,5,5,5,5,,,11,11,76,5
context/,GoogleGemini/strict_consistency/,11,95,5,5,5,5,5,5,5,11,94,76,76,92,76,76,5,93,5.0,5,5,5,5,5,76,5,5,5,76,76,76,76,76,92,5,16,5,93,93,5,5,5,5,5,,,11,11,76,5
context/,GoogleGemini/strict_consistency/,11,95,5,5,5,5,5,5,5,11,94,76,76,92,76,76,5,93,76.0,5,76,5,11,11,76,5,11,76,76,76,76,76,76,92,5,16,5,93,93,5,5,5,5,5,58.0,,11,11,76,5
context/,GoogleGemini/strict_consistency/,11,95,5,5,5,5,5,5,5,11,94,76,76,5,76,76,5,5,5.0,5,5,5,5,5,5,5,11,5,76,76,76,76,76,5,5,16,5,5,5,5,5,5,5,5,,,11,11,76,5
context/,GoogleGemini/strict_consistency/,11,95,5,5,5,5,5,5,5,11,94,76,76,92,76,76,5,93,76.0,5,76,5,11,11,76,5,11,76,76,76,76,76,76,92,5,16,5,93,93,5,5,5,5,5,58.0,,11,11,76,5
context/,GoogleGemini/strict_consistency/,11,95,5,5,5,5,5,5,5,11,94,76,76,5,76,76,5,93,5.0,5,5,5,5,5,76,5,11,5,76,76,76,76,76,5,5,16,5,93,93,5,5,5,5,5,,,11,11,76,5
context/,GoogleGemini/strict_consistency/,11,95,5,5,5,5,5,5,5,11,94,76,76,5,76,76,5,93,5.0,5,5,5,5,5,5,5,5,5,76,76,76,76,76,5,5,16,5,93,93,5,5,5,5,5,,,11,11,76,5
no-context/,ChatGPT/strict_consistency/,11,88,8,8,8,8,63,8,8,12,94,26,79,92,79,79,7,93,79.0,22,79,7,12,12,88,8,82,79,79,77,69,79,79,92,8,92,8,59,59,7.0,7,8.0,7,7,8,88,7,7,79,8
no-context/,ChatGPT/strict_consistency/,11,95,11,5,11,5,63,5,5,12,94,26,79,92,79,10,5,93,,22,10,88,12,14,71,11,82,76,76,76,69,79,79,92,11,92,5,59,59,5.0,5,5.0,5,5,58,88,11,11,79,11
no-context/,ChatGPT/strict_consistency/,11,95,8,8,NOT_FOUND,8,63,7,8,12,94,12,10,92,79,79,7,93,79.0,22,79,7,12,14,71,8,82,79,79,76,69,79,79,92,NOT_FOUND,92,8,93,93,7.0,7,8.0,7,7,58,66,7,7,76,8
no-context/,ChatGPT/strict_consistency/,11,89,8,8,11,8,63,7,8,12,94,12,79,92,79,79,7,93,,22,22,88,14,14,71,8,82,79,79,78,69,79,79,92,11,92,8,59,59,7.0,7,8.0,7,7,58,78,11,11,79,8
no-context/,ChatGPT/strict_consistency/,11,95,8,8,NOT_FOUND,8,63,8,8,12,94,26,79,34,79,79,8,93,79.0,79,79,78,14,14,71,78,82,79,79,78,69,79,79,92,NOT_FOUND,37,8,59,59,7.0,7,8.0,7,7,NOT_FOUND,78,11,11,79,78
no-context/,ChatGPT/strict_consistency/,11,95,8,8,NOT_FOUND,8,63,7,8,12,94,12,79,92,79,79,7,93,,22,79,88,12,12,71,79,82,79,79,77,69,79,79,92,NOT_FOUND,92,8,93,59,7.0,7,8.0,7,7,NOT_FOUND,88,7,7,79,79
no-context/,ChatGPT/strict_consistency/,11,95,11,5,11,5,63,5,5,12,94,12,79,34,76,76,5,93,,76,76,76,14,14,76,11,82,76,79,76,69,76,76,92,11,34,5,95,59,5.0,5,5.0,5,5,55,95,5,5,79,11
no-context/,ChatGPT/strict_consistency/,11,89,8,8,8,8,63,7,8,12,94,12,79,34,79,79,7,93,79.0,22,79,88,14,14,71,7,82,79,79,76,69,79,79,92,8,34,8,59,59,7.0,7,8.0,7,7,58,88,11,11,79,7
no-context/,ChatGPT/strict_consistency/,11,1,5,5,11,5,63,5,5,12,94,12,10,34,66,66,5,5,,66,66,5,14,14,71,11,82,66,66,76,69,66,66,92,11,34,5,1,5,,1,,5,5,58,1,5,5,66,11
no-context/,ChatGPT/strict_consistency/,11,1,8,8,12,8,63,8,8,12,94,12,10,37,76,76,8,93,76.0,76,76,8,12,14,76,8,82,76,76,76,69,76,76,92,12,37,8,93,59,7.0,7,8.0,7,7,58,76,7,7,76,8
no-context/,GoogleBard/strict_consistency/,11,95,11,7,11,8,63,7,8,11,94,11,11,92,11,77,7,93,11.0,7,7,7,11,11,11,7,11,11,7,77,77,77,77,92,11,16,92,92,93,7,7,11,7,7,55,92,11,11,77,11
no-context/,GoogleBard/strict_consistency/,11,89,NOT_FOUND,7,NOT_FOUND,8,NOT_FOUND,7,8,12,94,NOT_FOUND,8,92,8,NOT_FOUND,7,59,8.0,7,8,7,8,NOT_FOUND,8,7,7,8,7,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,92,NOT_FOUND,16,8,59,59,7,88,58,7,7,58,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
no-context/,GoogleBard/strict_consistency/,11,95,NOT_FOUND,11,NOT_FOUND,11,NOT_FOUND,11,11,11,94,NOT_FOUND,11,92,11,NOT_FOUND,11,NOT_FOUND,11.0,11,11,11,11,NOT_FOUND,11,11,11,11,11,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,16,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
