results = {
  "ID": "Demography",
  "Education Sectors": "Education",
  "Periods": "Economics.EconomicConditionsAndIndicators",
  "Total Expenditure On Education": "Economics.EconomicPolicyPublicExpenditureAndRevenue",
  "Total Government": "Economics.EconomicPolicyPublicExpenditureAndRevenue",
  "Total On Education Institutions": "Education.Total",
  "Lump Sum Financing": "Economics.EconomicConditionsAndIndicators",
  "Contract Research": "ScienceAndTechnology.Biotechnology",
  "Operating Costs": "Economics.EconomicConditionsAndIndicators",
  "Total Subsidies And Tax Benefits": "Economics.EconomicPolicyPublicExpenditureAndRevenue",
  "Education Component Preschool Day Care": "Education.CompulsoryAndPreschoolEducation",
  "Transport Of Pupils": "TransportAndTravel",
  "Provisions For Disabled Students": "Education.VocationalEducationAndTraining",
  "Allowance For School Costs": "SocialWelfarePolicyAndSystems.SpecificSocialServicesUseAndAvailability",
  "Supervising Costs Of Companies": "LabourAndEmployment.EmployeeTraining",
  "Student Grants": "SocialWelfarePolicyAndSystems.SpecificSocialServicesUseAndAvailability",
  "Student Loans": "SocialWelfarePolicyAndSystems.SpecificSocialServicesUseAndAvailability",
  "Total Receipts": "Economics.EconomicConditionsAndIndicators",
  "EUSubsidies": "TradeIndustryAndMarkets.ForeignTrade",
  "Repaid Student Grants And Loans And Interest On Student Loans": "SocialWelfarePolicyAndSystems.SpecificSocialServicesUseAndAvailability",
  "Repayments On Student Loans": "SocialWelfarePolicyAndSystems.SpecificSocialServicesUseAndAvailability",
  "Total Expenditure By Households": "Economics.EconomicConditionsAndIndicators",
  "Tuition Fees Subsidised Institutions": "Education.HigherAndFurtherEducation",
  "Tuition Fees Private Institutions": "Education.HigherAndFurtherEducation",
  "Parental Contribution School Activities": "SocialWelfarePolicyAndSystems.SpecificSocialServicesUseAndAvailability",
  "Total Other Expenditures On Education": "Economics.EconomicPolicyPublicExpenditureAndRevenue",
  "Books Materials Public Transport And": "Education.Total",
  "Wrongfully Received Student Grants And": "SocialWelfarePolicyAndSystems.SpecificSocialServicesUseAndAvailability",
  "Interest On Student Loans": "SocialWelfarePolicyAndSystems.SpecificSocialServicesUseAndAvailability",
  "Repayments On Student Loans": "SocialWelfarePolicyAndSystems.SpecificSocialServicesUseAndAvailability",
  "Total Allowances Received": "SocialWelfarePolicyAndSystems.SpecificSocialServicesUseAndAvailability",
  "Child Care Allowance Education Component": "SocialWelfarePolicyAndSystems.SpecificSocialServicesUseAndAvailability",
  "Provisions For Disabled Students": "Education.VocationalEducationAndTraining",
  "Allowances For School Costs": "SocialWelfarePolicyAndSystems.SpecificSocialServicesUseAndAvailability",
  "Scholarships Of Companies": "SocialStratificationAndGroupings.ElitesAndLeadership",
  "Student Grants For School Fees Books": "SocialWelfarePolicyAndSystems.SpecificSocialServicesUseAndAvailability",
  "Student Grants For The Cost Of Living": "SocialWelfarePolicyAndSystems.SpecificSocialServicesUseAndAvailability",
  "Student Loans": "SocialWelfarePolicyAndSystems.SpecificSocialServicesUseAndAvailability",
  "Total Companies": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation",
  "Total On Education Institutes": "Education.Total",
  "Supervising Trainees And Apprentices": "LabourAndEmployment.EmployeeTraining",
  "Tuition Fees Private Institutions": "Education.HigherAndFurtherEducation",
  "Total Other Expenditure On Education": "Economics.EconomicPolicyPublicExpenditureAndRevenue",
  "Child Care Allowance Education Component": "SocialWelfarePolicyAndSystems.SpecificSocialServicesUseAndAvailability",
  "Scholarships Of Companies": "SocialStratificationAndGroupings.ElitesAndLeadership",
  "Total Subsidies Received": "Economics.EconomicPolicyPublicExpenditureAndRevenue",
  "Transport Of Pupils": "TransportAndTravel",
  "Supervising Costs Of Companies": "LabourAndEmployment.EmployeeTraining",
  "Total Foreign Countries": "TradeIndustryAndMarkets.ForeignTrade",
  "Total On Education Institutes": "Education.Total",
  "International Funds": "TradeIndustryAndMarkets.ForeignTrade",
  "Contract Research": "ScienceAndTechnology.Biotechnology",
  "EUSubsidies": "TradeIndustryAndMarkets.ForeignTrade",
  "Total Expenditure On Education In Of GDP": "Economics.EconomicConditionsAndIndicators",
  "Per Capita": "Economics.EconomicConditionsAndIndicators",
  "Total Government Exp On Education In Of GDP": "Economics.EconomicPolicyPublicExpenditureAndRevenue",
  "In Of GDP": "Economics.EconomicConditionsAndIndicators",
  "In Of Total Government Expenditure": "Economics.EconomicConditionsAndIndicators",
  "Total On Education Institutions": "Education.Total",
  "Total In Of GDP": "Economics.EconomicConditionsAndIndicators",
  "Government Households Companies Foreign Countries": "Politics.GovernmentPoliticalSystemsAndOrganisations",
  "Per Student Including RD": "Economics.EconomicConditionsAndIndicators",
  "Per Student Excluding RD": "Economics.EconomicConditionsAndIndicators"
}
