results = {
  "ID": "Demography",
  "Sector Branches SIC2008": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation",
  "Periods": "Other",
  "Employee": "LabourAndEmployment.Employment",
  "Employed Person": "LabourAndEmployment.Employment",
  "Total": "Other",
  "Net Turnover": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation",
  "Other Revenues": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation",
  "Initial Stock Of Raw And Auxiliary Mater": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation",
  "Purchased Raw And Auxiliary Materials": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation",
  "Closing Stock Raw And Auxiliary Mat": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation",
  "Initial Stock Of Commodities": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation",
  "Purchased Commodities": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation",
  "Closing Stock Of Commodities": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation",
  "Payments To Subcontractors": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation",
  "Purchase Value Not Elsewhere Classified": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation",
  "Gross Wages And Salaries": "LabourAndEmployment.WorkingConditions",
  "Employer Paid Social Insurance Premiums": "LabourAndEmployment.WorkingConditions",
  "Other Social Insurance Costs": "LabourAndEmployment.WorkingConditions",
  "Pension And Early Retirement Premiums": "LabourAndEmployment.Retirement",
  "Other Personnel Costs": "LabourAndEmployment.WorkingConditions",
  "Costs Of Energy Use": "NaturalEnvironment.EnergyAndNaturalResources",
  "Housing Costs": "HousingAndLandUse.Housing",
  "Equipment And Inventory Costs": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation",
  "Transport Costs": "TransportAndTravel",
  "Sales Costs": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation",
  "Communication Costs": "MediaCommunicationAndLanguage",
  "Costs Of Other Services": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation",
  "Other Liabilities": "Other",
  "Depreciation Fixed Assets": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation",
  "Operating Results": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation",
  "Net Financial Income": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation",
  "Balance Of Provisions": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation",
  "Net Extraordinary Income": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation",
  "Pre Tax Results": "TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation"
}
