result = {
  "ID": "Demography.PopulationDemographicData",
  "Periods": "Periods",
  "Population At Start Of Selected Period": "Population At Start Of Selected Period",
  "Live Births": "Live Births",
  "Deaths": "Deaths",
  "Immigration": "Immigration",
  "Emigration Including Administrative C": "Emigration Including Administrative C",
  "Net Corrections": "Net Corrections",
  "Total Population Growth": "Total Population Growth",
  "Population At End Of Selected Period": "Population At End Of Selected Period",
}
