result = {
  "ID": "Business and economic activities",
  "Sector Branches SIC2008": "Business and industry",
  "Periods": "Time period",
  "Employee": "Employees and workers",
  "Employed Person": "Employees",
  "Total": "Total revenue or turnover",
  "Net Turnover": "Net turnover",
  "Other Revenues": "Other revenues",
  "Total": "Total costs",
  "Initial Stock Of Raw And Auxiliary Mater": "Raw materials used",
  "Purchased Raw And Auxiliary Materials": "Purchased raw materials",
  "Closing Stock Raw And Auxiliary Mat": "Ending inventory of raw materials",
  "Total": "Total inventories",
  "Initial Stock Of Commodities": "Commodities purchased",
  "Purchased Commodities": "Purchased commodities",
  "Closing Stock Of Commodities": "Ending inventory of goods for resale",
  "Payments To Subcontractors": "Payments to subcontractors",
  "Purchase Value Not Elsewhere Classified": "Other purchases",
  "Total": "Total purchases",
  "Gross Wages And Salaries": "Gross wages and salaries",
  "Total": "Total labour costs",
  "Employer Paid Social Insurance Premiums": "Employer-paid social insurance contributions",
  "Other Social Insurance Costs": "Other social security contributions",
  "Pension And Early Retirement Premiums": "Pension and early retirement contributions",
  "Other Personnel Costs": "Other personnel costs",
  "Total": "Total personnel costs",
  "Costs Of Energy Use": "Costs of energy",
  "Housing Costs": "Rent, utilities, and other accommodation costs",
  "Equipment And Inventory Costs": "Depreciation of equipment and inventory",
  "Transport Costs": "Transportation costs",
  "Sales Costs": "Advertising, marketing, and sales expenses",
  "Communication Costs": "Telephone, internet, and postal costs",
  "Costs Of Other Services": "Professional and other services costs",
  "Other Liabilities": "Other liabilities",
  "Depreciation Fixed Assets": "Depreciation of fixed assets",
  "Operating Results": "Operating profit or loss",
  "Net Financial Income": "Net financial income",
  "Balance Of Provisions": "Balance of provisions",
  "Net Extraordinary Income": "Net extraordinary income",
  "Pre Tax Results": "Pre-tax profit or loss"
}
